Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,lat,long,coast,elev,pop
0.03,0.303,0.024,0.037,0.518,0.031,0.052,0.006,-3.2026,142.2037,0.094179371,86,8
0.014,0.017,0.007,0.003,0.924,0.009,0.012,0.014,-3.2026,142.2037,0.094179371,86,8
0.132,0.216,0.024,0.02,0.427,0.129,0.048,0.003,-3.2026,142.2037,0.094179371,86,8
0.028,0.306,0.008,0.045,0.546,0.044,0.018,0.005,-3.2026,142.2037,0.094179371,86,8
0.005,0.03,0.006,0.003,0.882,0.057,0.012,0.005,-3.2026,142.2037,0.094179371,86,8
0.197,0.34,0.141,0.013,0.029,0.112,0.057,0.113,-3.2026,142.2037,0.094179371,86,8
0.022,0.277,0.011,0.01,0.314,0.353,0.01,0.003,-3.2026,142.2037,0.094179371,86,8
0.016,0.03,0.072,0.052,0.771,0.043,0.012,0.005,-3.2026,142.2037,0.094179371,86,8
0.085,0.105,0.056,0.002,0.663,0.044,0.037,0.009,-3.2026,142.2037,0.094179371,86,8
0.01,0.222,0.068,0.004,0.075,0.583,0.037,0.002,-3.2026,142.2037,0.094179371,86,8
0.026,0.027,0.051,0.003,0.863,0.017,0.01,0.004,-3.2026,142.2037,0.094179371,86,8
0.072,0.347,0.027,0.01,0.104,0.289,0.149,0.002,-3.2026,142.2037,0.094179371,86,8
0.007,0.062,0.029,0.007,0.781,0.103,0.008,0.002,-3.58067,142.47216,0.351300709,302,12
0.044,0.274,0.068,0.067,0.455,0.069,0.005,0.016,-3.578545,142.76672,0.267685813,322,3
0.009,0.008,0.01,0.003,0.956,0.005,0.005,0.004,-3.578545,142.76672,0.267685813,322,3
0.102,0.033,0.007,0.003,0.803,0.031,0.018,0.003,-3.578545,142.76672,0.267685813,322,3
0.176,0.327,0.1,0.019,0.062,0.135,0.126,0.054,-3.578545,142.76672,0.267685813,322,3
0.064,0.142,0.474,0.003,0.26,0.031,0.023,0.003,-3.578545,142.76672,0.267685813,322,3
0.009,0.4,0.024,0.006,0.468,0.065,0.025,0.002,-3.578545,142.76672,0.267685813,322,3
